source,Region,Key,item_code,display_name,Markup/gkm,KVI,category,sub_category,leaf_category,PRODUCT TYPE,brand,Unit wt,Total_Inventory,Last_90day_qty_Sold,Last_90day_Sale,Last90daysale_stores_cnt,latest_MRP,CP,latest_selling,gm%,Guardrail LOWER,GUARDRAIL HIGHER,SATELLITE LOW,SATELLITE HIGH
STPLS,CG,CG664,664,Chuhara Dry Dates 250g,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Chuhara,Chuhara,ASM,0.25,289,697,61368,33,119,56,88,36%,35%,40%,,
STPLS,CG,CG103297,103297,Crunchi Waves Makhana Premium| 250g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Makhana,Makhana Plain,Makhana Plain Premium,Crunchi Waves,0.25,565,455,181545,33,499,341,399,15%,18%,20%,,
STPLS,CG,CG103734,103734,Crunchi Waves Makhana Regular| 250g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Makhana,Makhana Plain,Makhana Plain Regular,Crunchi Waves,0.25,1717,1711,511589,33,399,246,299,18%,18%,20%,20%,22%
STPLS,CG,CG78785,78785,Date Crown Bumaan 500g,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Date Crown,0.5,69,376,37416,33,155,80,99,19%,20%,25%,,
STPLS,CG,CG89180,89180,Date Crown Daily Kalmi Safawi 500g Jar,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Date Crown,0.5,169,129,36540,32,500,230,280,18%,25%,30%,,
STPLS,CG,CG3004,3004,Date Crown Fard 500g,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Date Crown,0.5,604,797,173665,32,315,172,199,14%,15%,20%,,
STPLS,CG,CG94224,94224,Farmley Popular California Almonds 250 g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Farmley,0.25,185,68,23826,27,417,272,350,22%,25%,30%,,
STPLS,CG,CG91574,91574,Farmley Prasadam Makhana 100 g,cost based,NON KVI,Dry Fruits & Nuts,Makhana,Makhana Plain,Makhana Plain Regular,Farmley,0.1,187,45,13050,7,299,194,290,33%,24%,26%,,
STPLS,CG,CG94208,94208,Farmley Prasadam Makhana 200 g,cost based,NON KVI,Dry Fruits & Nuts,Makhana,Makhana Plain,Makhana Plain Regular,Farmley,0.2,173,21,9303,6,595,387,443,13%,18%,20%,,
STPLS,CG,CG94222,94222,Farmley Premium Broken Walnut Kernels 200g,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Walnut,WALNUT KERNELS,Farmley,0.2,4,44,16475,15,549,264,375,30%,30%,35%,,
STPLS,CG,CG94922,94922,Farmley Premium California Almonds | 500 g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Almond,Almond Plain,Farmley,0.5,58,69,41223,19,836,503,599,16%,15%,20%,,
STPLS,CG,CG94216,94216,Farmley Premium California Roasted & Salted Pistachios | 200 g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Pista & Walnut,Pista,Pista Roasted & Salted,Farmley,0.2,58,62,25385,23,469,302,410,26%,25%,30%,,
STPLS,CG,CG94218,94218,Farmley Premium Fard Dates | 400 g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Dates & Chuhara,Dates,Dates,Farmley,0.4,36,42,10080,19,325,178,240,26%,20%,25%,,
STPLS,CG,CG94217,94217,Farmley Premium Figs 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Anjeer,Farmley,0.2,45,137,57658,30,499,345,430,20%,40%,45%,,
STPLS,CG,CG97528,97528,Farmley Premium Flax Seeds Standee Pouch 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,FLAX SEEDS,Farmley,0.2,10,3,282,3,99,50,94,47%,45%,50%,,
STPLS,CG,CG94220,94220,Farmley Premium Jumbo Pumpkin Seeds 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,PUMPKIN SEEDS,Farmley,0.2,1,0,0,0,259,145,199,27%,35%,40%,,
STPLS,CG,CG97527,97527,Farmley Premium Sunflower Seeds Standee Pouch 200 g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,SUNFLOWER SEEDS,Farmley,0.2,8,3,453,3,159,75,151,50%,50%,55%,,
STPLS,CG,CG89242,89242,Farmley Premium W320 Cashew 500g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 320,Farmley,0.5,53,77,53823,23,899,602,699,14%,20%,25%,,
STPLS,CG,CG796,796,Flax Seed 100g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,FLAX SEEDS,ASM,0.1,437,721,15523,33,29,12,22,45%,45%,50%,,
STPLS,CG,CG797,797,Flax Seed 250g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Seeds,FLAX SEEDS,ASM,0.25,416,809,36475,32,69,30,50,40%,35%,40%,,
STPLS,CG,CG83982,83982,Gadi Dry Coconut Large,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Gadi Coconut,ASM,1,269,1162,90412,33,119,74,85,13%,15%,20%,,
STPLS,CG,CG689,689,Gadi Dry Small Coconut 120g,cost based,NON KVI,Dry Fruits & Nuts,Other Dry Fruits & Seeds,Other Dry Fruits,Gadi Coconut,ASM,1,62,462,28578,31,89,55,65,15%,15%,20%,,
STPLS,CG,CG11655,11655,Kaju Cashew | 250g | Pack of 1,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 320,ASM,0.25,365,2237,622144,33,379,221,285,22%,20%,25%,25%,30%
STPLS,CG,CG11654,11654,Kaju Cashew 100g,cost based,NON KVI,Dry Fruits & Nuts,Almond & Cashew,Cashew,Cashew 320,ASM,0.1,695,3039,394027,33,159,88,118,25%,25%,30%,,
