source,KEY,STATE,STATE KEY,item_code,display_name,master category,KVI / NKVI TAG
FMCGF,WB5029,WB,2,5029,Sensodyne Toothpaste Fresh Mint 150g,FMCGNF,KVI
FMCGF,WB23525,WB,2,23525,Sensodyne Sensitive Soft Toothbrush | Buy 2 Get 1 Free | Pack of 3,FMCGNF,KVI
FMCGF,CG4329,CG,3,4329,Good Knight Power Activ+ Refills | 45ml | Pack of 2,FMCGNF,KVI
FMCGF,JH10666,JH,1,10666,Dettol Skincare Liquid Hand Wash 675ml,FMCGNF,KVI
FMCGF,JH4115,JH,1,4115,Godrej No 1 Sandal Turmeric Soap 100g 5 Pcs,FMCGNF,KVI
FMCGF,JH82804,JH,1,82804,Pampers Happy Skin Pants M 7 To 12 kg Pack of 30,FMCGNF,KVI
FMCGF,CG8063,CG,3,8063,Harpic Power Plus 10X Max Toilet Cleaner 900ml,FMCGNF,KVI
FMCGF,JH33011,JH,1,33011,Close Up Everfresh Plus Zinc Fresh Technology Toothpaste 150g,FMCGNF,KVI
FMCGF,WB5023,WB,2,5023,Sensodyne Rapid Relief Toothpaste 80g,FMCGNF,KVI
FMCGF,WB11272,WB,2,11272,Colgate Strong Teeth Toothpaste (Free 15% Extra) 100 g,FMCGNF,KVI
FMCGF,JH10665,JH,1,10665,Dettol Original Liquid Hand Wash 650ml,FMCGNF,KVI
FMCGF,JH4736,JH,1,4736,Himalaya Purifying Neem Face Wash 100ml,FMCGNF,KVI
FMCGF,CG15846,CG,3,15846,Surf Excel Detergent Bar | 200g x 4 | Pack of 4,FMCGNF,KVI
FMCGF,WB23642,WB,2,23642,Parachute Coconut Oil Bottle | 600ml | Pack of 1,FMCGNF,KVI
FMCGF,JH13697,JH,1,13697,"MamyPoko All Night Absorb Baby Diaper Pants (M, 7 - 12 kg - 15 Diapers)",FMCGNF,KVI
FMCGF,CG76434,CG,3,76434,Good Knight Gold Flash Mosquito Repellent Refill 45ml 2N,FMCGNF,KVI
FMCGF,WB1363,WB,2,1363,Colgate Dental Cream Strong Teeth Toothpaste 200g,FMCGNF,KVI
FMCGF,WB11989,WB,2,11989,Sensodyne Repair And Protect Toothpaste 70g,FMCGNF,KVI
FMCGF,WB67638,WB,2,67638,Ponds Super Light Gel Hydrated Glow 50ml,FMCGNF,KVI
FMCGF,WB4981,WB,2,4981,Nihar Naturals Hair Oil Methi Extract Jasmine | 200ml | Pack of 1,FMCGNF,KVI
FMCGF,CG3684,CG,3,3684,Nivea Soft Light Moisture | 100ml | Pack of 1,FMCGNF,KVI
FMCGF,JH5023,JH,1,5023,Sensodyne Rapid Relief Toothpaste 80g,FMCGNF,KVI
FMCGF,WB4246,WB,2,4246,Harpic Floral Bathroom Cleaner 500ml,FMCGNF,KVI
FMCGF,WB22682,WB,2,22682,Ghadi Detergent Powder 3 Kg,FMCGNF,KVI
FMCGF,JH4251,JH,1,4251,Lizol Citrus Surface Cleaner 500ml,FMCGNF,KVI
FMCGF,JH1327,JH,1,1327,Clean & Clear Foaming Face Wash 50ml,FMCGNF,KVI
FMCGF,CG23642,CG,3,23642,Parachute Coconut Oil Bottle | 600ml | Pack of 1,FMCGNF,KVI
FMCGF,JH12622,JH,1,12622,"MamyPoko All Night Absorb Baby Diaper Pants (L, 9 - 14 kg - 13 Diapers)",FMCGNF,KVI
FMCGF,JH1353,JH,1,1353,Colgate Maxfresh Red 150g,FMCGNF,KVI
FMCGF,JH1562,JH,1,1562,Dove Cream Beauty Bathing Bar 100g,FMCGNF,KVI
