item_code,blinkit_url,jio_url
102269,https://blinkit.com/prn/x/prid/531020,https://www.jiomart.com/p/groceries/kellogg-s-7-in-1-chocolate-muesli-with-57-multigrain-fruit-nut-and-seeds-75-g/605971173
102338,https://blinkit.com/prn/x/prid/650542,
102339,https://blinkit.com/prn/x/prid/21780,
102362,https://blinkit.com/prn/x/prid/567576,
102363,https://blinkit.com/prn/x/prid/567573,
102389,https://blinkit.com/prn/x/prid/518374,https://www.jiomart.com/p/groceries/whisper-choice-stain-protection-sanitary-napkin-with-wings-xl-36-pads/599786329
102391,https://blinkit.com/prn/x/prid/393217,https://www.jiomart.com/p/groceries/whisper-ultra-wings-sanitary-napkin-with-wings-xl-15-pads/490063743
102442,https://blinkit.com/prn/x/prid/479932,
102444,https://blinkit.com/prn/x/prid/626912,
102491,https://blinkit.com/prn/x/prid/238050,https://www.jiomart.com/p/groceries/britannia-bourbon-original-biscuits-60-g/490000219
1025,https://blinkit.com/prn/x/prid/33343,https://www.jiomart.com/product/bisk-farm-googly-biscuits-200-g-mffn4h-7530286
102592,https://blinkit.com/prn/x/prid/541014,https://www.jiomart.com/p/groceries/lacto-calamine-aloe-vera-cucumber-vitamin-e-daily-cleanising-wipes-25-pcs/590795454
102639,https://blinkit.com/prn/x/prid/598230,
102686,https://blinkit.com/prn/x/prid/651260,
102694,https://blinkit.com/prn/x/prid/651170,https://www.jiomart.com/p/groceries/biswa-bangla-taste-of-bengal-aam-kasundi-sweet-200-g/611535389
102695,https://blinkit.com/prn/x/prid/651170,https://www.jiomart.com/p/groceries/biswa-bangla-aam-kasundi-sour-pickle-200-g/611502576
102696,https://blinkit.com/prn/x/prid/651170,
102704,https://blinkit.com/prn/x/prid/710835,https://www.jiomart.com/p/groceries/signature-alloy-deodorant-perfume-body-spray-200-ml-for-men-elegant-distinctive-fragrance-long-lasting-fights-body-odour-skin-friendly-deo-everyday-use/603512596
102735,https://blinkit.com/prn/x/prid/710835,
102785,https://blinkit.com/prn/x/prid/539011,https://www.jiomart.com/p/groceries/ritebite-max-protein-spanish-tomato-chips-60-g/590320920
102786,https://blinkit.com/prn/x/prid/482056,https://www.jiomart.com/p/groceries/ritebite-max-protein-cheese-jalapeno-chips-60-g/590320922
102787,https://blinkit.com/prn/x/prid/482057,
102789,https://blinkit.com/prn/x/prid/539002,
10279,https://blinkit.com/prn/x/prid/10791,https://www.jiomart.com/p/groceries/patanjali-special-chyawanprash-1-kg/590657282
102790,https://blinkit.com/prn/x/prid/482059,
102809,https://blinkit.com/prn/x/prid/23790,https://www.jiomart.com/p/groceries/cadbury-five-star-mini-treats-166-6-g/613084898
10282,https://blinkit.com/prn/x/prid/574,https://www.jiomart.com/p/groceries/lay-s-chile-limon-potato-chips-52-g/590033335
10284,https://blinkit.com/prn/x/prid/373412,https://www.jiomart.com/p/groceries/doritos-nacho-cheese-66-gm/604014096
10285,https://blinkit.com/prn/x/prid/373410,https://www.jiomart.com/p/groceries/doritos-sweet-chilli-nachos-66-g/590122123
10287,https://blinkit.com/prn/x/prid/367837,https://www.jiomart.com/product/kurkure-yummy-cheese-puffcorn-52-g-mffmtv-7507631
10288,https://blinkit.com/prn/x/prid/432780,https://www.jiomart.com/p/groceries/lay-s-classic-salted-potato-chips-52-g/490003965
10290,https://blinkit.com/prn/x/prid/289152,https://www.jiomart.com/product/lays-indias-magic-masala-potato-chips-48-g-mffmx7-7514675
10291,https://blinkit.com/prn/x/prid/140963,https://www.jiomart.com/p/groceries/godrej-expert-rich-cr-me-ammonia-free-hair-colour-dark-brown-20-g-20-ml/490992291
10292,https://blinkit.com/prn/x/prid/932,https://www.jiomart.com/p/groceries/godrej-expert-rich-creme-ammonia-free-hair-colour-black-brown-20-g-20-ml/590103112
102939,https://blinkit.com/prn/x/prid/541967,https://www.jiomart.com/p/groceries/myfitness-chocolate-crunchy-peanut-butter-510-gms/595324637
102940,https://blinkit.com/prn/x/prid/611645,https://www.jiomart.com/p/groceries/myfitness-chocolate-crunchy-peanut-butter-510-gms/595324637
102941,https://blinkit.com/prn/x/prid/541985,https://www.jiomart.com/p/groceries/myfitness-original-smooth-peanut-butter-510gm/598573259
