State,Item Code,Item Name,Category,Sub-Category,Leaf Category,Brand,Product Type,Marketd By,Master Catgory
WB,69111,Gala Dust Pan 1N,Cleaning & Household Needs,"Mops, Brushes & Scrubs",Brooms & Dust Pans,Gala,Dustpan,Freudenberg Gala Household Products,GM
WB,72485,Gala Leader Plus Floor Wiper | Pack of 1,Cleaning & Household Needs,"Mops, Brushes & Scrubs",Mops & Wipers,Gala,Wiper,Freudenberg Gala Household Products,GM
WB,102214,Gubb Nail Clipper | Pack of 1,Personal Care,Makeup & Cosmetics,Nail Clipper,Gubb,Nail Clipper,Groom Town Private Limited,GM
WB,12276,HIC Cotton Mop | YI 636 | Pack of 1,Cleaning & Household Needs,"Mops, Brushes & Scrubs",Mops & Wipers,Hic,Mop,HIC india,GM
WB,14465,Hindalco Freshwrapp Aluminium Foil | 33g + 17g Free | Pack of 1,Home & Kitchen,Kitchen Utility,Aluminium Foil & Clingwrap,Hindalco,Aluminium Foil,Hindalco Industries,GM
WB,4327,Homelites Matchbox | Pack of 5,Pooja Needs,Pooja Needs,Candles & Match Box,Homelites,Matchbox,Wimco,GM
WB,13283,Mangaldeep Sadhvi Puja Agarbatti | 100 Sticks | Pack of 1,Pooja Needs,Pooja Needs,Agarbatti & Dhoop,Mangaldeep,Agarbatti,ITC Ltd,GM
WB,24368,Orient | 9W,Electronics,Lighting,Bulb & Tubelight,Local,Bulb,Local,GM
WB,13257,Patanjali Aastha Cotton Wicks | 25g | 200 Pcs | Pack of 1,Pooja Needs,Pooja Needs,Camphor & Wicks,Patanjali,Cotton Wicks,Patanjali Ayurved,GM
WB,81361,Patanjali Aastha Premium Sandal Dhoop | Pack of 20,Pooja Needs,Pooja Needs,Agarbatti & Dhoop,Patanjali,Dhoop,Patanjali Ayurved,GM
WB,99787,Phool Broom Jhadu | 50 Inch | Steel Wire Binding | Pack of 1,Cleaning & Household Needs,"Mops, Brushes & Scrubs",Brooms & Dust Pans,Local,Broom,Radhikaraman Enterprises,GM
WB,81431,Pitambari Deep Shakti Sesame Oil | 450ml | Pack of 1,Pooja Needs,Pooja Needs,Lamp Oil & Ghee,Pitambari,Puja Oil,Pitambari Products,GM
WB,96240,Premier Silky 1-Ply Napkin | 27×27 cm | 90 Pulls | Pack of 1,Cleaning & Household Needs,Disposables & Garbage Bag,Paper Napkin & Tissue Box,Premier,Napkins,Premier Tissues India,GM
WB,97652,Rathi Rumal Kishan's Kitchen Napkin | 45cm x 70cm | Pack of 3,Cleaning & Household Needs,"Mops, Brushes & Scrubs",Dust Cloth & Wipes,Kishan's,Kitchen Duster,Rathi Rumal,GM
